"brand","make","year","cm3","km","price"
"Peugeot","407","2005","1560.0","198643","3450"
"Renault","Espace","2006","1870.0","189135","3450"
"Honda","CR_V","2011","2000.0","186398","10500"
"VW","Passat","2011","1600.0","214000","8250"
"Audi","Q7","2006","2967.0","186709","10500"
"Seat","Leon","2001","1900.0","227473","2050"
"Ford","Fiesta","2007","1596.0","228703","2750"
"Škoda","Octavia","2003","1896.0","305000","1600"
"VW","Golf 5","2004","1390.0","249526","3550"
"Citroen","C4","2010","1560.0","140880","3890"
"Renault","Laguna","2006","1900.0","197120","2250"
"Fiat","Grande Punto","2006","1910.0","226311","2850"
"BMW","316","2014","1995.0","180015","9990"
"Volvo","XC 90","2008","2400.0","217756","10100"
"Renault","Clio","2002","1461.0","220000","1550"
"Audi","A6","2004","2496.0","238775","3550"
"Mitsubishi","Colt","2004","1499.0","283557","2350"
"Opel","Vectra","2002","1995.0","230000","1550"
"VW","Bora","2004","1896.0","234098","2750"
"Hyundai","i20","2008","1248.0","178800","3550"
"Ford","Escort","1997","1400.0","210000","650"
"Mitsubishi","Pajero Pinin","2002","1999.0","210533","3650"
"Peugeot","307","2006","1997.0","199027","4500"
"VW","Golf 4","2002","1900.0","192000","2750"
"Opel","Vectra","2008","1910.0","123000","3710"
"BMW","525","2004","2498.0","281132","4650"
"Peugeot","206","2001","1997.0","193600","1099"
"MINI","One","2004","1600.0","195850","3150"
"Opel","Astra","2008","1598.0","187000","2190"
"VW","Passat","2005","1896.0","213000","2950"
"Renault","Clio","2010","1200.0","112139","4190"
"Peugeot","407","2009","1997.0","185000","4299"
"VW","Golf 4","2002","1900.0","205000","2550"
"VW","Touareg","2011","2967.0","223000","16900"
"VW","Polo","2012","1390.0","110000","9500"
"Renault","Grand Scenic","2012","1598.0","177000","6450"
"VW","Passat","2008","1968.0","199000","9550"
"VW","Golf 3","1994","1900.0","180000","1100"
"MINI","Countryman","2013","1598.0","109000","9150"
"Citroen","Jumper","2007","2198.0","237000","5800"
"Peugeot","207","2008","1398.0","133607","3350"
"Opel","Zafira","2009","1686.0","186000","4150"
"Peugeot","407","2008","1997.0","225000","3850"
"Fiat","Grande Punto","2015","1248.0","146000","5490"
"Ford","Kuga","2012","2000.0","209000","8900"
"Mercedes","A 180","2014","1461.0","213000","10700"
"Opel","Agila","2008","1242.0","129000","3500"
"Opel","Meriva","2008","1598.0","193000","3299"
"Nissan","Qashqai","2008","1461.0","198000","5650"
"Hyundai","Tucson","2004","1991.0","192000","3750"
"Citroen","DS4","2016","1997.0","89000","11495"
"Audi","Q5","2009","1986.0","206000","13650"
"Opel","Corsa","2002","1199.0","196000","1499"
"Renault","Clio","2006","1598.0","155000","3100"
"VW","Golf 5","2004","1900.0","206740","3590"
"VW","Golf 5","2006","1900.0","191145","3990"
"Opel","Astra","2005","1700.0","175109","3250"
"VW","Golf 5","2004","1900.0","171285","3590"
"Opel","Astra","2005","1700.0","191206","3350"
"Peugeot","307","2003","1587.0","180000","2150"
"Opel","Astra","2010","1600.0","141176","5990"
"Audi","A4","2001","1900.0","265064","3250"
"Audi","A4","2002","1900.0","170432","2990"
"BMW","520","2016","1995.0","159684","15480"
"Daihatsu","Terios","2005","1298.0","145000","4650"
"BMW","216 Gran Tourer","2015","1496.0","161215","10650"
"Ford","Focus","2015","1499.0","165853","5980"
"VW","Polo","2006","1390.0","157281","2950"
"Opel","Corsa","2004","1200.0","186241","2350"
"Audi","A4","2016","1968.0","165864","13350"
"Škoda","Fabia","2009","1200.0","128085","3490"
"Volvo","XC 90","2005","2401.0","129784","5950"
"Audi","A3","2006","1968.0","178990","4950"
"Ford","C Max","2014","1560.0","121000","6700"
"Audi","A6","2011","1998.0","278909","8500"
"BMW","316","2015","1995.0","142225","9250"
"Škoda","Octavia","2008","2000.0","143346","4490"
"Citroen","C4","2005","1600.0","173391","2890"
"Ford","C Max","2016","1596.0","156383","6870"
"VW","Golf 4","2002","1600.0","181556","2690"
"Opel","Meriva","2006","1700.0","166505","2990"
"Opel","Vectra","2001","1598.0","142844","1950"
"Ford","C Max","2008","1560.0","174417","4450"
"Renault","Scenic","2003","1600.0","177543","2590"
"Opel","Zafira","2001","1600.0","188954","1990"
"Fiat","Tipo","2017","1598.0","143898","8190"
"Opel","Insignia","2012","1956.0","137474","6950"
"Opel","Meriva","2007","1300.0","165660","3390"
"VW","Polo","2009","1200.0","137855","3790"
"Peugeot","207","2007","1398.0","177111","2950"
"Opel","Corsa","2006","1000.0","127086","3390"
"Opel","Agila","2005","1300.0","146671","2790"
"Audi","A4","2015","1968.0","154000","12600"
"Peugeot","207","2008","1400.0","144703","3590"
"Hyundai","Santa Fe","2004","1991.0","230000","3450"
"Peugeot","206","2005","1400.0","156280","2350"
"Škoda","Superb","2014","1968.0","142387","10650"
"Peugeot","208","2016","1199.0","33446","6950"
